date,usage,price
2017-04-19,25206,43.44
2017-04-20,25353,44.67
2017-04-21,25710,46.73
2017-04-22,25538,56.71
2017-04-23,23956,58.64
2017-04-24,23498,59.01
2017-04-25,24826,59.52
2017-04-26,25550,49.72
2017-04-27,25799,45.2
2017-04-28,26023,46.13
2017-04-29,25854,52.82
2017-04-30,24120,43.98
2017-05-01,28002,45.13
2017-05-02,25564,59.04
2017-05-03,25773,55.5
2017-05-04,25606,53.8
2017-05-05,25833,50.81
2017-05-06,23803,44.16
2017-05-07,28490,60.89
2017-05-08,30606,54.83
2017-05-09,27375,57.07
2017-05-10,26119,56.39
2017-05-11,22640,46.63
2017-05-12,29221,45.22
2017-05-13,25418,54.45
2017-05-14,23243,55.11
2017-05-15,23301,55.99
2017-05-16,25363,57.32
2017-05-17,25807,55.11
2017-05-18,25690,53.91
2017-05-19,25414,46.57
2017-05-20,25312,54.79
2017-05-21,23474,46.83
2017-05-22,23525,50.88
2017-05-23,25329,52.84
2017-05-24,26053,49.83
2017-05-25,26415,57.05
2017-05-26,26882,59.44
2017-05-27,26740,59.43
2017-05-28,24471,55.6
2017-05-29,23807,57.38
2017-05-30,25818,58.46
2017-05-31,25653,58.57
2017-06-01,26483,60.46
2017-06-02,25474,58.34
2017-06-03,24731,55.59
2017-06-04,25691,50.54
2017-06-05,25753,48.24
2017-06-06,25843,45.62
2017-06-07,28672,52.95
2017-06-08,28257,54.91
2017-06-09,27831,50.85
2017-06-10,26381,57.31
2017-06-11,22654,52.67
2017-06-12,29970,47.46
2017-06-13,28719,51.92
2017-06-14,29400,57.47
2017-06-15,29838,58.81
2017-06-16,30178,55.09
2017-06-17,30535,56.52
2017-06-18,28625,57.47
2017-06-19,29006,58.94
2017-06-20,30204,61.17
2017-06-21,30419,63.55
2017-06-22,30604,63.95
2017-06-23,30932,58.39
2017-06-24,29245,60.78
2017-06-25,28058,56.66
2017-06-26,27457,60.86
2017-06-27,29301,61.69
2017-06-28,28744,51.05
2017-06-29,27754,47.62
2017-06-30,27038,49.22
2017-07-01,25934,55.58
2017-07-02,27107,54.78
2017-07-03,26281,53.99
2017-07-04,25679,54.35
2017-07-05,23533,50.05
2017-07-06,26436,56.51
2017-07-07,28179,56.08
2017-07-08,27537,49.61
2017-07-09,27890,54.6
2017-07-10,25715,50.41
2017-07-11,25213,52.1
2017-07-12,27958,55.57
2017-07-13,31123,59.39
2017-07-14,31638,57.78
2017-07-15,30474,51.97
2017-07-16,27936,53.54
2017-07-17,28433,54.07
2017-07-18,30646,56.14
2017-07-19,30726,57.5
2017-07-20,29754,54.47
2017-07-21,29316,52.59
2017-07-22,28590,59.58
2017-07-23,26554,53.33
2017-07-24,26744,56.64
2017-07-25,27769,46.26
2017-07-26,28316,56.1
2017-07-27,29142,62.79
2017-07-28,30227,53.91
2017-07-29,29614,60
2017-07-30,27900,56.06
2017-07-31,27712,53.18
2017-08-01,26843,56.11
2017-08-02,27022,57.48
2017-08-03,26001,58.04
2017-08-04,25603,55.76
2017-08-05,23349,56.83
2017-08-06,26859,48.72
2017-08-07,27432,57.01
2017-08-08,29000,49.82
2017-08-09,27845,54.65
2017-08-10,23586,45.96
2017-08-11,25667,47.07
2017-08-12,28268,53.08
2017-08-13,24865,53.66
2017-08-14,24945,53.82
2017-08-15,26266,52.74
2017-08-16,26189,57.11
2017-08-17,27865,55.18
2017-08-18,28324,55.66
2017-08-19,28344,56.3
2017-08-20,26348,46.64
2017-08-21,26644,53.74
2017-08-22,28737,56.24
2017-08-23,28621,55.25
2017-08-24,28838,55.35
2017-08-25,28509,57.19
2017-08-26,28343,57.64
2017-08-27,26677,55.46
2017-08-28,26051,59.62
2017-08-29,27341,60.16
2017-08-30,26445,58.3
2017-08-31,26585,49.95
2017-09-01,26258,52.72
2017-09-02,27559,45.43
2017-09-03,25912,58.48
2017-09-04,23730,55.7
2017-09-05,25231,56.82
2017-09-06,27416,50.7
2017-09-07,25498,47.99
2017-09-08,27808,55.53
2017-09-09,26832,52.93
2017-09-10,23493,43.94
2017-09-11,26277,58.26
2017-09-12,27262,54.49
2017-09-13,26737,56.67
2017-09-14,27066,51.76
2017-09-15,26495,45.82
2017-09-16,25375,54.68
2017-09-17,23463,56.85
2017-09-18,23453,50.03
2017-09-19,25392,57.62
2017-09-20,26034,59.52
2017-09-21,25989,60.17
2017-09-22,26082,51.43
2017-09-23,25964,57.23
2017-09-24,24026,57.59
2017-09-25,23952,58.33
